行政区,土地坐落,总面积(公顷),土地用途,签订日期,项目名称,项目位置,面积(公顷),土地来源,供应方式,土地使用年限,行业分类,土地级别,成交价格(万元),分期支付约定-支付期号,分期支付约定-约定支付日期,分期支付约定-约定支付金额(万元),分期支付约定-备注,土地使用权人,约定容积率下限,约定容积率上限,约定交地时间,约定开工时间,约定竣工时间,实际开工时间,实际竣工时间,批准单位,合同签订日期,爬取时间,爬取地址url,唯一标识,
德庆县,德城大桥,0.2899,工业用地,2007-06-30,德庆惠翎织带有限公司,德城大桥,0.2899,现有建设用地,挂牌出让,50,纺织服装、鞋、帽制造业,纺织服装、鞋、帽制造业土地级别：二级,41.7456,1|,2007-07-30,41.7456|, ,德庆惠翎织带有限公司,0.9,,2007-08-30,2008-06-30,2010-06-30,2008-06-20,2010-04-21,德庆县人民政府,2007-06-30,2020-04-17 10:57:12,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092221279&__boxModel__=true&op=page_content&sessionID=40257&pn=1,9dad6d26afb8e063951ba5b25f3165c6,
韶关市本级,韶关市武江区工业西路,4.9777,其他商服用地,2014-04-15,工具厂地块,韶关市武江区工业西路,4.9777,新增建设用地(来自存量库),挂牌出让,其他商服用地40年; 中低价位、中小套型普通商品住房用地70年; 其他普通商品住房用地70,房地产业,房地产业土地级别：三级,2832,1|,2014-05-15,2832|, ,韶关市慧丰置业有限公司,1,2.6,2018-03-16,2019-03-15,2022-03-14,,,韶关市人民政府,2014-04-15,2020-04-17 10:57:13,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092219226&__boxModel__=true&op=page_content&sessionID=1515&pn=1,52a8d94f12ef7322141a9147bba8f793,
东莞市本级,东莞市万江区上甲社区,2.7506,工业用地,2007-06-30,东莞市金田纸业有限公司,东莞市万江区上甲社区,2.7506,新增建设用地,协议出让,50,造纸及纸质品业,造纸及纸质品业土地级别：二级,1320.288,1|,2007-07-30,1320.288|, ,东莞市金田纸业有限公司,,,2007-06-30,2008-06-29,2009-06-30,2007-10-10,2008-10-13,东莞市人民政府,2007-06-30,2020-04-17 10:57:20,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092230341&__boxModel__=true&op=page_content&sessionID=66074&pn=1,e8a960501d0b77d868c5744c68f75207,
江门市本级,棠下镇桐井村安溪浪(土名),1.3398,工业用地,2007-06-30,工业厂房项目,棠下镇桐井村安溪浪(土名),1.3398,新增建设用地(来自存量库),协议出让,50,摩托车制造,摩托车制造土地级别：二级,152.4652,1|,2007-08-29,152.4652|, ,广东万丰摩轮有限公司,0.6,1.5,2007-06-29,2007-11-29,2009-06-29,2007-07-03,2008-01-31,江门市人民政府,2007-06-30,2020-04-17 10:57:24,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092233339&__boxModel__=true&op=page_content&sessionID=95761&pn=1,7ff9040b3d3885e79130c439de8cec8d,
顺德区,顺德高新区（容桂）综合加工园第五期A19-2地块,0.900054,工业用地,2007-06-30,容桂佛山市顺德区顺舵包装有限公司厂房、办公楼,顺德高新区（容桂）综合加工园第五期A19-2地块,0.900054,现有建设用地,协议出让,50,印刷业和记录媒体的复制,印刷业和记录媒体的复制土地级别：三级,270.0162,1|,2007-07-30,270.0162|, ,佛山市顺德区顺舵包装有限公司,0.8,2.4,2007-06-30,2008-08-30,2009-08-29,2008-11-01,2010-03-10,佛山市人民政府,2007-06-30,2020-04-17 10:57:24,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092233927&__boxModel__=true&op=page_content&sessionID=31034&pn=1,6062de3ed61ad099a7b07cdaed5c0f2a,
五华县,横陂镇红光村,0.005204,批发零售用地,2007-07-11,陈天锡.陈林叨,横陂镇红光村,0.005204,现有建设用地,协议出让,50,零售业,零售业土地级别：十二级,0.4788,1|,2007-07-11,0.4788|, ,陈天锡.陈林叨,,,2007-07-11,2007-07-11,2007-07-11,,,五华县人民政府,2007-07-11,2020-04-17 10:57:24,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092234463&__boxModel__=true&op=page_content&sessionID=40793&pn=1,8d54141a8c3bb514dac8b9ee513805e1,
博罗县,福田镇山下村东边组瓦窑口,0.1404,中低价位、中小套型普通商品住房用地,2007-07-20,房地产项目,福田镇山下村东边组瓦窑口,0.1404,现有建设用地,挂牌出让,70,房地产业,房地产业土地级别：三级,75,1|,2007-07-30,75|, ,福田镇山下村东边组瓦窑口,,2.1,2007-07-20,2008-01-20,2010-07-20,2008-01-20,2009-06-12,博罗县人民政府,2007-07-20,2020-04-17 10:57:25,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092235127&__boxModel__=true&op=page_content&sessionID=97315&pn=1,92661c9ed9fa9dd7ee57536eb8c854f6,
梅江区,江南办富奇路,0.0051,其他住房用地,2007-08-03,叶干明,江南办富奇路,0.0051,现有建设用地,协议出让,70,房地产业,房地产业土地级别：二级,3.7434,1|,2007-08-03,3.7434|, ,叶干明,,,,2009-06-09,2009-06-09,,,,2007-08-03,2020-04-17 10:57:26,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092235568&__boxModel__=true&op=page_content&sessionID=91561&pn=1,674c4fa5759648be504937ebf16e83d2,
南海区,大沥镇盐步城区跃进路以西,0.116892,工业用地,2007-08-15,工业用地,大沥镇盐步城区跃进路以西,0.116892,现有建设用地,协议出让,50,房屋和土木工程业,房屋和土木工程业土地级别：四级,15.7103,1|,2007-10-14,15.7103|, ,佛山市南海盐步建筑工程公司,,,2007-10-14,,,,,佛山市人民政府,2007-08-15,2020-04-17 10:57:26,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092236275&__boxModel__=true&op=page_content&sessionID=4239&pn=1,b1cbfb60b70cfc876f0a2bbcae95e160,
阳江市本级,市区三路北侧,0.5977,其他商服用地,2007-09-03,商业,市区三路北侧,0.5977,现有建设用地,挂牌出让,40,房地产业,房地产业土地级别：五级,137.5,1|,2007-09-18,137.5|, ,黄勃,,1.8,2007-09-03,2008-09-03,2009-09-03,2007-09-11,2009-07-30,阳江市人民政府,2007-09-03,2020-04-17 10:57:27,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092236789&__boxModel__=true&op=page_content&sessionID=2825&pn=1,e83b5c7fb00a20c881d4f9fd1ec60249,
梅州市本级,江南团结路,0.04082,其他住房用地,2007-09-28,出让,江南团结路,0.04082,新增建设用地(来自存量库),协议出让,70,银行业,银行业土地级别：一级,0.2422,1|,2007-10-28,0.2422|, ,李从锦,,,2007-09-28,2008-09-28,2011-09-28,,,梅州市人民政府,2007-09-28,2020-04-17 10:57:28,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092237707&__boxModel__=true&op=page_content&sessionID=30084&pn=1,76506fdafcb2749ce363c7c1d8eff073,
南海区,九江镇沙头城区万安门街11号,0.00676,其他普通商品住房用地,2007-09-30,城镇住宅用地,九江镇沙头城区万安门街11号,0.00676,现有建设用地,协议出让,70,房地产业,房地产业土地级别：一级,3.2217,1|,2007-11-29,3.2217|, ,老其林,,,2007-09-30,,,,,佛山市人民政府,2007-09-30,2020-04-17 10:57:28,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092238146&__boxModel__=true&op=page_content&sessionID=57531&pn=1,853721ed353e8243f371a271c1322dc2,
南海区,南海区狮山镇狮北村"松岗",1.31616,工业用地,2007-10-19,工业用地,南海区狮山镇狮北村"松岗",1.31616,现有建设用地,划拨,,农业,农业土地级别：未评估地区,,,,,,南海区狮山镇狮北村根溪村民小组,0,2,2007-10-19,2008-10-19,2009-10-19,2008-10-07,2009-10-15,佛山市人民政府,2007-10-19,2020-04-17 10:57:29,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092238869&__boxModel__=true&op=page_content&sessionID=36483&pn=1,efa3349b9a62606f75fe71408244e2bd,
高州市,高州市大井镇大井圩东区,0.009,其他普通商品住房用地,2007-11-19,湛瑞辉,高州市大井镇大井圩东区,0.009,现有建设用地,协议出让,70,居民服务业,居民服务业土地级别：二级,0.4104,1|,2007-11-19,0.4104|, ,湛瑞辉,,,,,,,,高州市人民政府,2007-11-19,2020-04-17 10:57:29,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092239293&__boxModel__=true&op=page_content&sessionID=11556&pn=1,b4b6f4081a827d3ac7231e17c750dd85,
中山市本级,南朗镇（翠亨新区起步区）西一围,2.59532,公路用地,2019-11-12,和盈路二段,南朗镇（翠亨新区起步区）西一围,2.59532,新增建设用地,划拨,,道路运输业,道路运输业土地级别：五级,0,,,,,中山翠亨新区财政金融局,,,2020-05-11,2021-05-11,2024-05-11,,,中山市人民政府,2019-11-12,2020-04-17 10:57:30,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092239744&__boxModel__=true&op=page_content&sessionID=28204&pn=1,37c0238ff4e07b24020bdefc968b5e88,
中山市本级,南朗镇（翠亨新区起步区）西一围,0.08839,公园与绿地,2019-11-12,和信路（西一围一段）绿化工程,南朗镇（翠亨新区起步区）西一围,0.08839,新增建设用地,划拨,,公共设施管理业,公共设施管理业土地级别：五级,0,,,,,中山翠亨新区财政金融局,,,2020-05-11,2021-05-11,2024-05-11,,,中山市人民政府,2019-11-12,2020-04-17 10:57:31,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092240710&__boxModel__=true&op=page_content&sessionID=35073&pn=1,da46de2a8d2d5b02b30905e3f7c4d6ef,
高州市,高州城南区工业大道93号,0.0111,其他普通商品住房用地,2007-11-19,陈进茂,高州城南区工业大道93号,0.0111,现有建设用地,协议出让,70,居民服务业,居民服务业土地级别：二级,1.0656,1|,2007-11-19,1.0656|, ,陈进茂,,,,,,,,高州市人民政府,2007-11-19,2020-04-17 10:57:32,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092241442&__boxModel__=true&op=page_content&sessionID=82969&pn=1,ba92aa8f5c2a5d3a676f725eb35a2491,
兴宁市,官汕三路,0.00798,其他商服用地,2007-11-27,2007年划拨补办出让,官汕三路,0.00798,现有建设用地,协议出让,50,居民服务业,居民服务业土地级别：四级,1.3007,1|,2007-12-07,1.3007|, ,刘作元,,,2007-11-27,,,,,兴宁市人民政府,2007-11-27,2020-04-17 10:57:32,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092242124&__boxModel__=true&op=page_content&sessionID=41261&pn=1,faa486e4cf60bce0de5c77087dbed522,
阳江市本级,市区新华南路东侧、横一路南侧,0.2,其他普通商品住房用地,2014-05-06,留用地,市区新华南路东侧、横一路南侧,0.2,新增建设用地,划拨,,社会保障业,社会保障业土地级别：四级,12.06,,,,,江城区岗列街道那格村委会,1,2,2018-11-12,2019-11-12,2022-11-12,,,阳江市人民政府,2014-05-06,2020-04-17 10:57:33,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092243225&__boxModel__=true&op=page_content&sessionID=85712&pn=1,92856e04fc5544f2fc9e736a50d0f4d4,
梅州市本级,广州（梅州）产业转移工业园,1.6667,工业用地,2018-08-30,梅州宏原汽车配件有限公司,广州（梅州）产业转移工业园,1.6667,新增建设用地,拍卖出让,50,汽车制造,汽车制造土地级别：十一级,383,1|,2018-10-29,383|, ,梅州宏原汽车配件有限公司,1.2,,2018-08-30,2019-08-30,2021-08-30,2019-07-15,,梅州市人民政府,2018-08-30,2020-04-17 10:57:40,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092250525&__boxModel__=true&op=page_content&sessionID=43072&pn=1,c883354258e23cfa7be8901b23835e87,
深圳市本级,龙岗区横岗,3.196837,工业用地,2007-12-14,五丰食品（深圳）有限公司,龙岗区横岗,3.196837,现有建设用地,挂牌出让,50,食品制造业,食品制造业土地级别：五级,1227.59,1|,2007-12-14,1227.59|, ,五丰食品（深圳）有限公司,,1.1,2007-12-15,2007-12-14,2009-12-13,,,深圳市人民政府,2007-12-14,2020-04-17 10:57:43,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092253985&__boxModel__=true&op=page_content&sessionID=11121&pn=1,dbcbb85a4acc0feedcd7c964a3522032,
梅州市本级,梅江区城北镇中村村,2.0983,其他普通商品住房用地,2014-05-09,梅江区城北镇中村村土地公开出让,梅江区城北镇中村村,2.0983,新增建设用地(来自存量库),拍卖出让,其他普通商品住房用地70年; 其他商服用地40,房地产业,房地产业土地级别：五级,2593.4988,1|,2014-06-08,2593.4988|, ,梅州市中裕发展有限公司,1,2.4,2014-07-09,2015-07-09,2018-07-09,2016-01-24,,梅州市人民政府,2014-05-09,2020-04-17 10:57:45,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092254423&__boxModel__=true&op=page_content&sessionID=87711&pn=1,b566bd30a2252e9551895da28afee1e8,
潮安县,潮安区东山湖特色产业基地,1.342763,工业用地,2014-05-12,潮安县沙溪金泽瓷用颜料厂,潮安区东山湖特色产业基地,1.342763,新增建设用地,挂牌出让,50,化学原料及化学制品制造业,化学原料及化学制品制造业土地级别：十级,1329,1|,2014-06-11,1329|, ,潮安县沙溪金泽瓷用颜料厂,1,2,2014-05-12,2017-12-02,2019-12-02,2018-08-17,,潮安区人民政府,2014-05-12,2020-04-17 10:57:45,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092255317&__boxModel__=true&op=page_content&sessionID=80899&pn=1,91425a51baf337fd93312bb312c1fd28,
南海区,广东省佛山市南海区西樵镇民乐城区张家二巷1号,0.002128,城镇住宅用地,2019-12-19,城镇住宅用地,广东省佛山市南海区西樵镇民乐城区张家二巷1号,0.002128,现有建设用地,协议出让,70,房地产业,房地产业土地级别：四级,4.656,1|,2020-01-18,4.656|, ,张鸣麟,,,,,,,,佛山市人民政府,2019-12-19,2020-04-17 10:57:45,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092255037&__boxModel__=true&op=page_content&sessionID=25251&pn=1,c97c3b0f156c44d274cb76880ec4347e,
潮安县,潮安区东山湖特色产业基地,10.32958,住宿餐饮用地,2014-05-12,潮安东山湖温泉度假村有限公司,潮安区东山湖特色产业基地,10.32958,新增建设用地,挂牌出让,40,住宿业,住宿业土地级别：十级,13215,1|,2014-06-11,13215|, ,潮安东山湖温泉度假村有限公司,2,4,2014-05-12,2020-12-20,2022-12-19,,,潮安区人民政府,2014-05-12,2020-04-17 10:57:46,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092256128&__boxModel__=true&op=page_content&sessionID=61902&pn=1,6a8273acd53e2cc26952fe2261e8de2a,
清远市本级,清远市清城区石角镇灵洲村民委员会辖区内,10.9883,公共设施用地,2007-12-20,北江大堤加固工程,清远市清城区石角镇灵洲村民委员会辖区内,10.9883,新增建设用地,划拨,,公共设施管理业,公共设施管理业土地级别：八级,,,,,,广东省北江流域管理局,,,2013-12-30,2014-12-30,2017-12-30,2014-12-30,2016-02-02,广东省国土资源厅人民政府,2007-12-20,2020-04-17 10:57:46,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092256647&__boxModel__=true&op=page_content&sessionID=38729&pn=1,887a0b887b7e8357ddd0f072a24b2575,
潮安县,潮安区东山湖特色产业基地,1.955084,其他普通商品住房用地,2014-05-12,潮安东山湖温泉度假村有限公司,潮安区东山湖特色产业基地,1.955084,新增建设用地,挂牌出让,70,房地产业,房地产业土地级别：十级,4280,1|,2014-06-11,4280|, ,潮安东山湖温泉度假村有限公司,1,3.5,2019-12-20,2020-12-20,2023-12-19,,,潮安区人民政府,2014-05-12,2020-04-17 10:57:47,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092257076&__boxModel__=true&op=page_content&sessionID=96902&pn=1,3d9575ed26838004f611deb5e8760d49,
深圳市本级,龙岗区大鹏街道,1.1162,公共设施用地,2007-12-29,大鹏水头污水处理厂,龙岗区大鹏街道,1.1162,新增建设用地(来自存量库),划拨,,水利管理业,水利管理业土地级别：五级,,,,,,深圳市水污染治理指挥部办公室,,,2007-12-29,2008-12-29,2009-12-29,2007-12-30,2009-12-29,深圳市政府人民政府,2007-12-29,2020-04-17 10:57:48,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092257699&__boxModel__=true&op=page_content&sessionID=95726&pn=1,69708b9f7465d23e892f0fb338ee09cf,
清远市本级,龙塘镇清花路81号首层南侧、二层,0.009676,其他住房用地,2008-01-09,冯杵棠、冯树开,龙塘镇清花路81号首层南侧、二层,0.009676,现有建设用地,协议出让,70,农业,农业土地级别：八级,0.1026,1|,2008-01-19,0.1026|, ,冯杵棠、冯树开,,,2008-01-09,2009-03-04,2009-03-04,,,清远市人民政府,2008-01-09,2020-04-17 10:57:49,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092258809&__boxModel__=true&op=page_content&sessionID=29609&pn=1,0df7f1258ec5282d0a6043ac117e7531,
清远市本级,清远市百加集镇阳光大道开发区北侧,0.3,其他住房用地,2008-01-09,欧满强综合用地,清远市百加集镇阳光大道开发区北侧,0.3,新增建设用地(来自存量库),协议出让,50,农业,农业土地级别：八级,0.9,1|,2008-01-19,0.9|, ,欧满强,,,2008-01-09,2009-03-04,2009-03-04,,,清远市人民政府,2008-01-09,2020-04-17 10:57:49,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092259387&__boxModel__=true&op=page_content&sessionID=25207&pn=1,4f8316a42d5530a7b1703949f81ce994,
惠州市本级,惠州市江北火车北站铁路生活区第10栋241房,0.00094,其他普通商品住房用地,2008-01-30,邹梅红申请划拨土地使用权补办出让,惠州市江北火车北站铁路生活区第10栋241房,0.00094,现有建设用地,协议出让,70,房地产业,房地产业土地级别：四级,0.1431,1|,2008-02-29,0.1431|, ,邹梅红,,,2008-01-30,2008-01-30,2008-01-30,,,惠州市人民政府,2008-01-30,2020-04-17 10:57:50,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092259530&__boxModel__=true&op=page_content&sessionID=6139&pn=1,113700d2a7f1f2d5f36cd5b00b90acde,
兴宁市,兴城南郊曾屋,0.00815,其他住房用地,2008-02-01,划拨补办出让,兴城南郊曾屋,0.00815,现有建设用地,协议出让,70,住宿业,住宿业土地级别：四级,0.489,1|,2008-02-11,0.489|, ,曾宪清 曾天赐,,,2008-02-01,,,,,兴宁市人民政府,2008-02-01,2020-04-17 10:57:51,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092260198&__boxModel__=true&op=page_content&sessionID=88859&pn=1,7ba5b0033e5b8a544c342690cbd8cde4,
阳江市本级,市区新华南路东侧、横一路南侧地段,0.528,其他普通商品住房用地,2014-04-24,留用地,市区新华南路东侧、横一路南侧地段,0.528,新增建设用地,划拨,,社会保障业,社会保障业土地级别：四级,33.7233,,,,,阳江市江城区岗列街那格村民委员会,1,2,2018-11-12,2019-11-12,2022-11-12,,,阳江市人民政府,2014-04-24,2020-04-17 10:57:52,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092261342&__boxModel__=true&op=page_content&sessionID=44296&pn=1,0e2d1b80ed5e73457892cd1faac65a87,
深圳市本级,公明街道,0.35,街巷用地,2008-03-01,深圳市模具产业集聚基地七号路,公明街道,0.35,新增建设用地,划拨,,其他服务业,其他服务业土地级别：四级,,,,,,深圳市宝安区公明街道投资服务中心,,,2008-03-01,2009-03-01,2010-03-01,2009-03-01,2010-03-01,深圳市人民政府,2008-03-01,2020-04-17 10:57:52,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092261876&__boxModel__=true&op=page_content&sessionID=1722&pn=1,732586f7e595a80050d1fdf9e38aa5f3,
深圳市本级,罗湖区,0.05971,公共设施用地,2008-03-11,清水河物流园区市政环境改造工程―给水加压泵站工程,罗湖区,0.05971,现有建设用地,划拨,,国家机构,国家机构土地级别：一级,0,,,,,深圳市罗湖区建筑工务局,,,2014-05-14,2016-05-12,2020-05-13,2016-05-12,,深圳市人民政府,2008-03-11,2020-04-17 10:57:52,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092262476&__boxModel__=true&op=page_content&sessionID=16676&pn=1,19324b4ffa239aefbccb2c78b2c00497,
三水区,广东佛山市三水中心科技工业区芦苞园B区24－4号之三,6.65317,仓储用地,2014-04-25,仓储用地（物流仓储项目）,广东佛山市三水中心科技工业区芦苞园B区24－4号之三,6.65317,现有建设用地,挂牌出让,50,仓储业,仓储业土地级别：七级,3293.4212,1|,2014-05-23,3293.4212|, ,佛山市普芦仓储经营有限公司,0.8,2,2014-06-22,2014-12-21,2016-06-20,2017-01-05,2018-06-25,佛山市人民政府,2014-04-25,2020-04-17 10:57:53,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092263298&__boxModel__=true&op=page_content&sessionID=61465&pn=1,c18d68490f8cc3efcce32031809c0e84,