文件标题,来源,更新时间,公告时间,公告媒体,公告号,出让方式,成交时间,成交地点,地块编号,地块位置,土地用途,挂牌起始价,竞得单位,成交金额,爬取地址url,唯一标识,
(拉公共国土挂〔2017〕3号)国有建设用地使用权挂牌出让结果公示,,文章来自：拉萨市公共资源交易中心,|2017年7月4日,|拉萨市公共资源交易信息网,|拉公共国土挂〔2017〕3号,|挂牌,|2017年8月6日,|拉萨市国土资源局,|LSGT2017-4,|教育城集贤路以南、丹墨路以东、书山路以北、百淀东路以西。,|居住用地,|42298388,|林芝市城市投资有限责任公司,|42298388,2020-05-06 14:48:49,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=44964,c1c2b54fa112ea98ca67a5240a097648,
(拉公共国土挂〔2017〕3号)国有建设用地使用权挂牌出让结果公示,,文章来自：拉萨市公共资源交易中心,|2017年7月4日,|拉萨市公共资源交易信息网,|拉公共国土挂〔2017〕3号,|挂牌,|2017年8月6日,|拉萨市国土资源局,|LSGT2017-6,|城关区纳金路以南，西三路以西。,|二类居住用地,|9094800,|西藏悟孜商贸有限公司,|9094800,2020-05-06 14:48:49,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=44964,c1c2b54fa112ea98ca67a5240a097648,
国有建设用地使用权挂牌出让结果公示(拉公共经开挂〔2017〕5号),,文章来自：拉萨市公共资源交易中心,|2017年8月14日,|拉萨市公共资源交易信息网,| 拉公共经开挂 〔2017〕5号,| 挂牌,| 2017年9月25日,|拉萨市公共资源交易中心,| JKQ2017-8,|拉萨经济技术开发区B区园区南路以北、拉青路以西、B区南环路以南地块内,| 工业,|3916.99,|拉萨经济技术开发区投资发展有限公司,|3917,2020-05-06 14:48:49,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=46155,aa8b9598f6828a2decbf940cd2fec801,
国有建设用地使用权挂牌出让结果公示(拉公共经开挂〔2017〕5号),,文章来自：拉萨市公共资源交易中心,|2017年8月14日,|拉萨市公共资源交易信息网,| 拉公共经开挂 〔2017〕5号,| 挂牌,| 2017年9月25日,|拉萨市公共资源交易中心,| JKQ2017-9,|拉萨经济技术开发区B区柳东路以东、B区北环路以南地块内,| 工业,|747.4741,|西藏柒柒柒文化产业有限公司,|747.5777,2020-05-06 14:48:49,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=46155,aa8b9598f6828a2decbf940cd2fec801,
国有建设用地使用权挂牌出让结果公示(拉公共经开挂〔2017〕5号),,文章来自：拉萨市公共资源交易中心,|2017年8月14日,|拉萨市公共资源交易信息网,| 拉公共经开挂 〔2017〕5号,| 挂牌,| 2017年9月25日,|拉萨市公共资源交易中心,| JKQ2017-10,|拉萨经济技术开发区B区柳东路以东、乃岗路以北地块内,| 工业,|1152.0058,|西藏龙廷钢架材料安装有限公司,|1152.08,2020-05-06 14:48:49,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=46155,aa8b9598f6828a2decbf940cd2fec801,
国有建设用地使用权挂牌出让结果公示(拉公共经开挂〔2017〕5号),,文章来自：拉萨市公共资源交易中心,|2017年8月14日,|拉萨市公共资源交易信息网,| 拉公共经开挂 〔2017〕5号,| 挂牌,| 2017年9月25日,|拉萨市公共资源交易中心,| JKQ2017-11,|拉萨经济技术开发区B区北环路以南、拉青西二路以西地块内,| 商业,|787.3893,|西藏中保强盾保安服务有限公司,|788,2020-05-06 14:48:49,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=46155,aa8b9598f6828a2decbf940cd2fec801,
国有建设用地使用权挂牌出让结果公示(拉公共经开挂〔2017〕5号),,文章来自：拉萨市公共资源交易中心,|2017年8月14日,|拉萨市公共资源交易信息网,| 拉公共经开挂 〔2017〕5号,| 挂牌,| 2017年9月25日,|拉萨市公共资源交易中心,| JKQ2017-12,|拉萨经济技术开发区B区乃岗路以北、拉青西二路以西地块内,| 商业,|1690.5064,|西藏正信工程检测技术有限公司,|1690.57,2020-05-06 14:48:49,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=46155,aa8b9598f6828a2decbf940cd2fec801,
LSGT2017―15、16、17号国有建设用地使用权拍卖出让结果公示(拉公共国土拍〔2017〕1号),,文章来自：拉萨市公共资源交易中心,|2017年10月17日,|拉萨市公共资源交易信息网,|《拉公共国土拍〔2017〕1号》,|拍卖,|2017年11月14日,|拉萨市公共资源交易中心,|LSGT2017-15号,|城关区教育城书山路以南，百淀东路以西,|居住用地,,|江苏金领投资管理有限公司,|58200000,2020-05-06 14:48:50,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=46503,b012ce311b4ace98adce4e644d089156,
LSGT2017―15、16、17号国有建设用地使用权拍卖出让结果公示(拉公共国土拍〔2017〕1号),,文章来自：拉萨市公共资源交易中心,|2017年10月17日,|拉萨市公共资源交易信息网,|拉公共国土拍〔2017〕1号,|挂牌,|2017年11月14日,|拉萨市公共资源交易中心,|LSGT2017-16号,|城关区教育城书山路以南，丹墨路以东。,|居住用地,,|西藏世邦投资有限责任公司,|82000000,2020-05-06 14:48:50,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=46503,b012ce311b4ace98adce4e644d089156,
LSGT2017―15、16、17号国有建设用地使用权拍卖出让结果公示(拉公共国土拍〔2017〕1号),,文章来自：拉萨市公共资源交易中心,|2017年10月17日,|拉萨市公共资源交易信息网,|拉公共国土拍〔2017〕1号,|拍卖,|2017年11月14日,|拉萨市公共资源交易中心,|LSGT2017-17号,|教育城书山路以北，丹墨路以东。,|居住用地,,|拉萨市城市房地产开发有限公司,|167000000,2020-05-06 14:48:50,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=46503,b012ce311b4ace98adce4e644d089156,
国有建设用地使用权挂牌出让结果公示(拉公共国土挂〔2017〕6号),,文章来自：拉萨市公共资源交易中心,|2017年11月20日,|拉萨市公共资源交易信息网,|拉公共国土挂〔2017〕6号,|挂牌,|2017年12月19日,|拉萨市公共资源交易中心,|LSGT2017-22号,|城关区教育城书山路以北、丹圣路以西,|居住用地,|75001773元,|西藏山南江南房地产有限责任公司,|75001773元,2020-05-06 14:48:51,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=46846,f4af2cac6f59641058a13b51387eedcb,
国有建设用地使用权挂牌出让结果公示(拉公共国土挂〔2017〕6号),,文章来自：拉萨市公共资源交易中心,|2017年11月20日,|拉萨市公共资源交易信息网,|拉公共国土挂〔2017〕6号,|挂牌,|2017年12月21日,|拉萨市公共资源交易中心,|LSGT2017-23号,|城关区劳动路以北、东一支路以东、东三路以西,|居住用地,|55568592,|拉萨市城市房地产开发有限公司,|91568592,2020-05-06 14:48:51,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=46846,f4af2cac6f59641058a13b51387eedcb,
国有建设用地使用权挂牌出让结果公示(拉公共国土挂〔2017〕6号),,文章来自：拉萨市公共资源交易中心,|2017年11月20日,|拉萨市公共资源交易信息网,|拉公共国土挂〔2017〕6号,|挂牌,|2017年12月19日,|拉萨市公共资源交易中心,|LSGT2017-24号,|城关区纳金路以南、东二支路以东,|商业用地,|133779550,|拉萨市城市房地产开发有限公司,|133779550,2020-05-06 14:48:51,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=46846,f4af2cac6f59641058a13b51387eedcb,
国有建设用地使用权挂牌出让结果公示(拉公共国土挂〔2017〕6号),,文章来自：拉萨市公共资源交易中心,|2017年11月20日,|拉萨市公共资源交易信息网,|拉公共国土挂〔2017〕6号,|挂牌,|2017年12月19日,|拉萨市公共资源交易中心,|LSGT2017-25号,|城关区东二路以东、劳动路以南、江苏大道以北,|商业用地,|66159585,|拉萨市城市房地产开发有限公司,|66159585,2020-05-06 14:48:51,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=46846,f4af2cac6f59641058a13b51387eedcb,
（尼国土挂【2018】1号）尼木县国有建设用地使用权挂牌出让结果公示,,文章来自：拉萨市公共资源交易中心,|2018年5月3日,|拉萨市公共资源交易信息网,|尼国土挂【2018】1号,|挂牌,|2018年6月13日,|尼木县国土资源规划局,|2018-001,|尼木县吞巴乡吞达村,|仓储,|772.88,|拉萨尼弘元仓实业有限责任公司,|772.88,2020-05-06 14:48:52,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=50273,05e8cb6e48c35333801cdee9d18fe113,
(拉公共经开挂〔2018〕1号)国有建设用地使用权挂牌出让结果公示,,文章来自：拉萨市公共资源交易中心,|2018年5月11日,|拉萨市公共资源交易信息网,| 拉公共经开挂 〔2018〕1号,| 挂牌,| 2018年6月21日,|拉萨市公共资源交易中心,| JKQ2018-1,|拉萨经济技术开发区A区拉萨河堤以西、林琼岗支路以北地块内,| 工业,|1287.1329,|西藏阜康医药发展有限公司,|1287.2,2020-05-06 14:48:55,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=50358,8c045c61a74f3f7f85bd0ff5a8e41670,
(拉公共经开挂〔2018〕1号)国有建设用地使用权挂牌出让结果公示,,文章来自：拉萨市公共资源交易中心,|2018年5月11日,|拉萨市公共资源交易信息网,| 拉公共经开挂 〔2018〕1号,| 挂牌,| 2018年6月21日,|拉萨市公共资源交易中心,| JKQ2018-2,|拉萨经济技术开发区A区林琼岗路以东、林琼岗支路以南地块内,| 商业,|4843.7543,|西藏勤昆实业有限公司,|4846,2020-05-06 14:48:55,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=50358,8c045c61a74f3f7f85bd0ff5a8e41670,
(拉公共经开挂〔2018〕1号)国有建设用地使用权挂牌出让结果公示,,文章来自：拉萨市公共资源交易中心,|2018年5月11日,|拉萨市公共资源交易信息网,| 拉公共经开挂 〔2018〕1号,| 挂牌,| 2018年6月21日,|拉萨市公共资源交易中心,| JKQ2018-3,|拉萨市综合保税区纬一路以南地块内,| 工业,|1273.0616,|元龙股份有限公司,|1273.1,2020-05-06 14:48:55,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=50358,8c045c61a74f3f7f85bd0ff5a8e41670,
(拉公共经开挂〔2018〕1号)国有建设用地使用权挂牌出让结果公示,,文章来自：拉萨市公共资源交易中心,|2018年5月11日,|拉萨市公共资源交易信息网,| 拉公共经开挂 〔2018〕1号,| 挂牌,| 2018年6月21日,|拉萨市公共资源交易中心,| JKQ2018-4,|拉萨经济技术开发区B区西环路以东、北环路以南地块内,|物流仓储,|919.1401,|西藏山水物流有限公司,|919.6666,2020-05-06 14:48:55,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=50358,8c045c61a74f3f7f85bd0ff5a8e41670,
(拉公共经开挂〔2018〕1号)国有建设用地使用权挂牌出让结果公示,,文章来自：拉萨市公共资源交易中心,|2018年5月11日,|拉萨市公共资源交易信息网,| 拉公共经开挂 〔2018〕1号,| 挂牌,| 2018年6月21日,|拉萨市公共资源交易中心,| JKQ2018-5,|拉萨经济技术开发区B区柳东路以西、北环路以南地块内,|物流仓储,|3551.5843,|拉萨市丰泰产业园管理有限公司,|3552,2020-05-06 14:48:55,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=50358,8c045c61a74f3f7f85bd0ff5a8e41670,
(拉公共经开挂〔2018〕1号)国有建设用地使用权挂牌出让结果公示,,文章来自：拉萨市公共资源交易中心,|2018年5月11日,|拉萨市公共资源交易信息网,| 拉公共经开挂 〔2018〕1号,| 挂牌,| 2018年6月21日,|拉萨市公共资源交易中心,| JKQ2018-6,|拉萨经济技术开发区B区乃岗路以南、拉青路以西地块内,|工业,|513.2343,|西藏亿盛工贸有限公司,|513.3,2020-05-06 14:48:55,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=50358,8c045c61a74f3f7f85bd0ff5a8e41670,
(拉公共经开挂〔2018〕1号)国有建设用地使用权挂牌出让结果公示,,文章来自：拉萨市公共资源交易中心,|2018年5月11日,|拉萨市公共资源交易信息网,| 拉公共经开挂 〔2018〕1号,| 挂牌,| 2018年6月21日,|拉萨市公共资源交易中心,| JKQ2018-7,|拉萨市综合保税区纬一路以南、经一路以西地块内,|工业,|760.4211,|西藏华诚实业有限公司,|761,2020-05-06 14:48:55,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=50358,8c045c61a74f3f7f85bd0ff5a8e41670,
拉公共国土挂〔2018〕1号LSGT2018―6号	、LSGT2018―8号	、LSGT2018―9号	等共计7宗国有建..,,文章来自：拉萨市公共资源交易中心,|2018年6月15日,|拉萨市公共资源交易信息网,|拉公共国土挂〔2018〕1号,|挂牌,|2018年7月24日,|拉萨市公共资源交易中心,|LSGT2018-6号|LSGT2018-8号|LSGT2018-9号|LSGT2018-12号|LSGT2018-13号|LSGT2018-35|LSGT2018-36,|东嘎东路以南、拉青路以东|东嘎东路以南、拉青路以东|拉青路以东、滨河北路以北|滨河北路以北、乃加三路以西|滨河北路以北、乃加三路以东、新村路以南|城关区教育城学子大道以东、丹翔路以北|城关区教育城圣陶南路以东、百淀大道以南,|商业（兼容商务用地）|居住、商业|居住、商业|居住|居住|其他服务设施用地|其他服务设施用地,|30077460|68008080|42438500|57566766|120712800|6873550|8591000,|拉萨市城市房地产开发有限公司|拉萨市城市房地产开发有限公司|西藏胜道建设工程有限责任公司公司|西藏香雪投资有限公司|拉萨市城市房地产开发有限公司|拉萨市公共安全服务有限公司|拉萨市公共安全服务有限公司,|31577460|69508080|43938500|58066766|120712800|6873550|8591000,2020-05-06 14:48:55,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=51544,10d32b33c43fefc23de0806065a102c4,
JKQ2018-9号国有建设用地使用权挂牌出让结果公示(拉经开拍字〔2018〕1号) ,,文章来自：拉萨市公共资源交易中心,|2018年5月30日,|拉萨市公共资源交易信息网,|拉经开拍字〔2018〕1号,|拍卖,|2018年7月3日,|拉萨市公共资源交易中心,|JKQ2018-9,|拉萨经济技术开发区B区乃岗路以北、拉青东一路以东地块内,|商业,|2605,|流拍,|0,2020-05-06 14:48:55,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=51448,91ed0fd8f5ba67869dfe1f9d1b927041,
JKQ2018-9号国有建设用地使用权挂牌出让结果公示(拉经开拍字〔2018〕2号),,文章来自：拉萨市公共资源交易中心,|2018年7月20日,|拉萨市公共资源交易信息网,| 拉经开拍字 〔2018〕2号,| 拍卖,| 2018年8月28日,|拉萨市公共资源交易中心,| JKQ2018-9,|拉萨经济技术开发区B区乃岗路以北、拉青东一路以东地块内,|零售商业,|2605,|拉萨市城市房地产开发有限公司,|3355,2020-05-06 14:48:55,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=51840,78ca8feb65a8b5a5a5623a3576c5eafc,
JKQ2018-10、JKQ2018-11、JKQ2018-12、JKQ2018-15国有建设用地使用权挂牌出让结果公示(..,,文章来自：拉萨市公共资源交易中心,|2018年8月10日,|拉萨市公共资源交易信息网,| 拉公共经开挂 〔2018〕2号,| 挂牌,| 2018年9月20日,|拉萨市公共资源交易中心,| JKQ2018-10,|拉萨经济技术开发区B区拉青路以东、B区南环路以南地块内,|工业,|522.1988,|西藏央金生态农牧科技有限公司,|522.2,2020-05-06 14:48:56,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=51950,32a016d74987bf46537302eadf71b9aa,
JKQ2018-10、JKQ2018-11、JKQ2018-12、JKQ2018-15国有建设用地使用权挂牌出让结果公示(..,,文章来自：拉萨市公共资源交易中心,|2018年8月10日,|拉萨市公共资源交易信息网,| 拉公共经开挂 〔2018〕2号,| 挂牌,| 2018年9月20日,|拉萨市公共资源交易中心,| JKQ2018-11,|拉萨经济技术开发区B区园区南路以北、龙峰生物公司用地以西,|工业,|441.7863,|流拍(在公告规定时间内报名企业未报价),|0,2020-05-06 14:48:56,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=51950,32a016d74987bf46537302eadf71b9aa,
JKQ2018-10、JKQ2018-11、JKQ2018-12、JKQ2018-15国有建设用地使用权挂牌出让结果公示(..,,文章来自：拉萨市公共资源交易中心,|2018年8月10日,|拉萨市公共资源交易信息网,| 拉公共经开挂 〔2018〕2号,| 挂牌,| 2018年9月20日,|拉萨市公共资源交易中心,| JKQ2018-12,|拉萨经济技术开发区B区拉青路以西、南环路以北地块内,|工业,|515.3626,|西藏圣源工贸有限公司,|515.5,2020-05-06 14:48:56,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=51950,32a016d74987bf46537302eadf71b9aa,
JKQ2018-10、JKQ2018-11、JKQ2018-12、JKQ2018-15国有建设用地使用权挂牌出让结果公示(..,,文章来自：拉萨市公共资源交易中心,|2018年8月10日,|拉萨市公共资源交易信息网,| 拉公共经开挂 〔2018〕2号,| 挂牌,| 2018年9月20日,|拉萨市公共资源交易中心,| JKQ2018-15,|拉萨经济技术开发区A区维色路以西、广州路以南、塔杰路以北地块内,|工业,|1633.2827,|流拍(在公告规定时间内无企业报名),|0,2020-05-06 14:48:56,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=51950,32a016d74987bf46537302eadf71b9aa,
JKQ2018-13、JKQ2018-14号国有建设用地使用权拍卖出让结果公示(拉经开拍字〔2018〕3号),,文章来自：拉萨市公共资源交易中心,|2018年8月10日,|拉萨市公共资源交易信息网,| 拉经开拍字 〔2018〕3号,| 拍卖,| 2018年9月12日,|拉萨市公共资源交易中心,| JKQ2018-13,|拉萨经济技术开发区B区波玛路以南、柳东路以东地块内,|零售商业,|8785,|流拍(在公告规定时间内有且仅有一家企业报名),|0,2020-05-06 14:48:57,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=51951,bbc780186977bcdb44d3ff2279777307,
JKQ2018-13、JKQ2018-14号国有建设用地使用权拍卖出让结果公示(拉经开拍字〔2018〕3号),,文章来自：拉萨市公共资源交易中心,|2018年8月10日,|拉萨市公共资源交易信息网,| 拉经开拍字 〔2018〕3号,| 拍卖,| 2018年9月12日,|拉萨市公共资源交易中心,| JKQ2018-14,|拉萨经济技术开发区A区维色路以东、广州路以北地块内,|零售商业,|3026,|西藏明耀房地产开发有限公司,|3226,2020-05-06 14:48:57,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=51951,bbc780186977bcdb44d3ff2279777307,
JKQ2018-13号国有建设用地使用权挂牌出让结果公示(拉经开拍字〔2018〕4号),,文章来自：拉萨市公共资源交易中心,|2018年9月30日,|拉萨市公共资源交易信息网,| 拉经开拍字〔2018〕4号,| 拍卖,|2018年10月31日,|拉萨市公共资源交易中心,| JKQ2018-13,|拉萨经济技术开发区B区波玛路以南、柳东路以东地块内,|商业,|8785万元,|（在规定报名时间内无人报名）,|0,2020-05-06 14:48:57,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=52102,839bdb93d19ba79e98b96b92a8e538e0,
JKQ2018-13号国有建设用地使用权挂牌出让结果公示(拉经开拍字〔2018〕6号),,文章来自：拉萨市公共资源交易中心,|2018年10月31日,|拉萨市公共资源交易信息网,|拉经开拍字〔2018〕6号,| 拍卖,|2018年11月30日,|拉萨市公共资源交易中心,| JKQ2018-13,|拉萨经济技术开发区B区波玛路以南、柳东路以东地块内,|商业,|8785万元,|拉萨经济技术开发区投资发展有限公司,|8800,2020-05-06 14:48:58,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=53683,156e1b3b3106322d3e09ff683b908cdc,
 （拉公共柳梧国土挂z2018{2号）国有建设用地使用权挂牌出让结果公示,,文章来自：拉萨市公共资源交易中心,|2018年9月13日,|拉萨市公共资源交易信息网,|拉公共柳梧国土挂z2018{2号）,|挂牌,|2018年10月24日,|拉萨市公共资源交易中心,|2018-（柳）8号,|柳梧新区团结大街以南、察古大道以东,|零售商业用地,,,|17305128.83元,2020-05-06 14:48:58,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=53757,57d3690c48a92f7cba8ee03e7c83ba5b,
2018-8国有建设用地使用权挂牌出让结果公示,,文章来自：拉萨市公共资源交易中心,|2018年12月21日,|拉萨市公共资源交易信息网,|拉文创管挂〔2018〕10号,|挂牌,|2019年2月22日,|拉萨市公共资源交易中心,|2018-8|2018-8国有建设用地使用权挂牌出让结果公示| （拉文创管挂〔2018〕10号）,|灵居路以北、花园路以西CT05-14,|旅游文化设施用地,,,|11431万元,2020-05-06 14:49:00,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=54750,b6bfb4feb8f4f649107c72a5deb4c46d,
JKQ2019-1号国有建设用地使用权挂牌出让结果公示(拉公共经开挂〔2019〕1号),,文章来自：拉萨市公共资源交易中心,|2019年4月2日,|拉萨市公共资源交易信息网,| 拉公共经开挂 〔2019〕1号,| 挂牌,| 2019年5月15日,|拉萨市公共资源交易中心,| JKQ2019-1,|拉萨经济技术开发区B区拉青路以东、B区园区南路以北地块内,| 工业,|444.0346,|西藏真牛牦牛乳业有限公司,|444.5,2020-05-06 14:49:01,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=55207,7d1469069a0a650a3a5bfbb37abd3c55,
JKQ2019-3号国有建设用地使用权挂牌出让结果公示(拉公共经开挂〔2019〕1号),,文章来自：拉萨市公共资源交易中心,|2019年4月2日,|拉萨市公共资源交易信息网,| 拉公共经开挂 〔2019〕1号,| 挂牌,| 2019年5月15日,|拉萨市公共资源交易中心,| JKQ2019-3,|拉萨经济技术开发区B区南环路以北、拉青路以西地块内,|工业,|1069.5121,|流拍,|,2020-05-06 14:49:02,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=55209,6112dbe153bd19c6e7d0119b7019d775,
JKQ2019-4号国有建设用地使用权挂牌出让结果公示(拉公共经开挂〔2019〕1号),,文章来自：拉萨市公共资源交易中心,|2019年4月2日,|拉萨市公共资源交易信息网,| 拉公共经开挂 〔2019〕1号,| 挂牌,| 2019年5月15日,|拉萨市公共资源交易中心,| JKQ2019-4,|拉萨综合保税区纬一路以南、巡逻道以北地块内,|工业,|1546.8989,|西藏顶立建设工程有限公司,|1547,2020-05-06 14:49:02,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=55210,c834f0a0c3662a63847c820e35297247,
2015―16号国有建设用地使用权挂牌出让结果公示(拉公共国土挂〔2016〕14号),,文章来自：拉萨市公共资源交易中心,|2016年6月6日,|拉萨市公共资源交易信息网,|拉公共国土挂〔2016〕14号,|挂牌,|2016年7月14日,|拉萨市公共资源交易中心,|2015―16号,|城关区北绕城路以西，西二路以东，加荣路以北,|居住,|2570.3100,|西藏宏盛房地产开发有限公司,|2570.3100,2020-05-06 14:49:05,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=40959,517b5da9ecabdc3fab03d28bcbab2052,
2015―16号国有建设用地使用权挂牌出让结果公示(拉公共国土挂〔2016〕14号),,文章来自：拉萨市公共资源交易中心,|2016年6月6日,|拉萨市公共资源交易信息网,|拉公共国土挂〔2016〕14号,|挂牌,|2016年7月14日,|拉萨市公共资源交易中心,|2016―9号,|城关区扎基东路以南，夺底路以东,|居住,|1284.2004,|拉萨市城市建设投资经营有限公司,|1284.2004,2020-05-06 14:49:05,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=40959,517b5da9ecabdc3fab03d28bcbab2052,
2015―16号国有建设用地使用权挂牌出让结果公示(拉公共国土挂〔2016〕14号),,文章来自：拉萨市公共资源交易中心,|2016年6月6日,|拉萨市公共资源交易信息网,|拉公共国土挂〔2016〕14号,|挂牌,|2016年7月14日,|拉萨市公共资源交易中心,|2016―17号,|高新区柳创路以南，栖慧大道以东(G-02-49),|工业,|462.3960,|中国移动通信集团西藏有限公司,|462.3960,2020-05-06 14:49:05,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=40959,517b5da9ecabdc3fab03d28bcbab2052,
2015―16号国有建设用地使用权挂牌出让结果公示(拉公共国土挂〔2016〕14号),,文章来自：拉萨市公共资源交易中心,|2016年6月6日,|拉萨市公共资源交易信息网,|拉公共国土挂〔2016〕14号,|挂牌,|,|,|2016―18号,|高新区扎德路以南，栖慧大道以东(G-02-57),|工业,|443.3990,,,2020-05-06 14:49:05,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=40959,517b5da9ecabdc3fab03d28bcbab2052,
2015―16号国有建设用地使用权挂牌出让结果公示(拉公共国土挂〔2016〕14号),,文章来自：拉萨市公共资源交易中心,|2016年6月6日,|拉萨市公共资源交易信息网,|拉公共国土挂〔2016〕9号,|挂牌,|2016年7月14日,|拉萨市公共资源交易中心,|2016―19号,|高新区通慧路以西，栖琼路以北，藏创大道以东(G-03-03),|工业,|796.9280,|西藏宁算信息科技有限公司,|796.9280,2020-05-06 14:49:05,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=40959,517b5da9ecabdc3fab03d28bcbab2052,
