公告类型,文件标题,时间,来源,正文标题,宗地编号,土地位置,出让面积(m2),绿化用地,道路用地,土地用途,缛媚晗,容积率,建筑密度,绿地率,建筑空间,起始价(万元),保证金(万元),竞价幅度(万元),报名时间起止日期,挂牌开始时间,挂牌截止时间,保证金到账截止时间,联系地址,联系人,联系电话,爬取地址url,唯一标识,
出让公告,晋中市国土资源局开发区土地分局国有土地使用权挂牌出让公告3号,2019-04-03,晋中市规划和自然资源局,晋中开土告字（2019）3号,GK2018-33号,潇河产业园晋中起步区兴隆北街南侧、榆次修文粮食仓库西侧,87421.29平方米（合131.1319亩）,,,工业用地,50年,介于1.0与2.0之间,介于35%与50%,介于15%与20%之间,尺寸控制在-10米―45米之间,3515万元,3515万元,10万元,2019年4月23日8时至2019年4月30日10时,2019年4月23日8时,2019年5月6日10时,2019年4月30日10时,晋中开发区土地事务中心（开发区办公楼北607房间）,,0354-3368707,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201904/t20190404_88878.shtml,d91dfac5bb18713b048d175a6444dfac,
出让公告,晋中市国土资源局开发区土地分局国有土地使用权挂牌出让公告3号,2019-04-03,晋中市规划和自然资源局,晋中开土告字（2019）3号,GK2018-34号,新能源汽车园区文华街南侧、兴园路西侧,142686.69平方米（合214.03亩）,,,工业用地,50年,介于0.7与2.0之间,介于40%与70%,介于10%与20%之间,尺寸控制在-10米―60米之间,7805万元,7805万元,10万元,2019年4月23日8时至2019年4月30日10时,2019年4月23日8时,2019年5月6日10时,2019年4月30日10时,晋中开发区土地事务中心（开发区办公楼北607房间）,,0354-3368707,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201904/t20190404_88878.shtml,d91dfac5bb18713b048d175a6444dfac,
出让公告,晋中市规划和自然资源局国有建设用地使用权挂牌出让公告4号,2019-04-03,晋中市规划和自然资源局,晋中自然告字[2019]4号,JZGT2019T04,府兴路东侧、思凤街北侧,26645.85,,,商业、住宅用地,商业40、住宅70,≥1.0且≤1.6,,,≥-10且≤60,,9933,,2019年4月3日9时至2019年4月30日16时30分,2019年4月23日9时,2019年5月6日16时,2019年4月30日16时30分,晋中市榆次区定阳路500号晋中市民之家,张晋泽,18303545200,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201904/t20190403_88851.shtml,7ac255e05ca3f25076d2fc5426ac093c,
出让公告,晋中市规划和自然资源局国有建设用地使用权挂牌出让公告4号,2019-04-03,晋中市规划和自然资源局,晋中自然告字[2019]4号,JZGT2019T02,榆次工业园区七号路南侧、环城西路西侧,85146.08,,,商业、住宅用地,商业40、住宅70,≥1.0且≤2.8,,,≥-10且≤90,,24552,,2019年4月3日9时至2019年4月30日16时30分,2019年4月23日9时,2019年5月6日16时,2019年4月30日16时30分,晋中市榆次区定阳路500号晋中市民之家,张晋泽,18303545200,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201904/t20190403_88851.shtml,7ac255e05ca3f25076d2fc5426ac093c,
出让公告,晋中市规划和自然资源局国有建设用地使用权挂牌出让公告4号,2019-04-03,晋中市规划和自然资源局,晋中自然告字[2019]4号,JZGT2019T01,榆次工业园区七号路南侧、环城西路西侧,20686.92,,,商业、住宅用地,商业40、住宅70,≥1.0且≤2.8,,,≥-10且≤90,,5979,,2019年4月3日9时至2019年4月30日16时30分,2019年4月23日9时,2019年5月6日16时,2019年4月30日16时30分,晋中市榆次区定阳路500号晋中市民之家,张晋泽,18303545200,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201904/t20190403_88851.shtml,7ac255e05ca3f25076d2fc5426ac093c,
出让公告,晋中市国土资源局开发区土地分局国有建设用地使用权挂牌出让公告4号,2019-04-10,晋中市规划和自然资源局,晋中开土告字（2019）4号,GK2017-8号,晋中开发区广安街南侧、龙田路东侧,29216.38平方米（合43.8246亩）,,,商住混合用地（商服15%、住宅85%）,商服40年，住宅70年,不大于2.0,不大于30％,不小于35％,尺寸控制在-10米―60米之间,17500万元,17500万元,200万元,2019年4月30日8时至2019年5月13日10时,2019年4月30日8时,2019年5月15日10时,2019年5月13日10时,晋中开发区土地事务中心（开发区办公楼北607房间）,,0354-3368707,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201904/t20190411_92196.shtml,abde621ee164a7f9dba587525d982e01,
出让公告,晋中市国土资源局开发区土地分局国有建设用地使用权挂牌出让公告5号,2019-06-18,晋中市规划和自然资源局,晋中开土告字（2019）5号,GK2019-3号,晋中开发区魏榆路西侧、汇丰街南侧,26667.54平方米（合40.0013亩）,,,科研用地,50年,介于1.0与2.0之间,介于15％与40%之间,不小于35％,尺寸控制在-10米―60米之间,2493万元,2493万元,50万元,2019年7月8日8时至2019年7月17日10时,2019年7月8日8时,2019年7月19日10时,2019年7月17日10时,晋中开发区土地事务中心（开发区办公楼北607房间）,,0354-3368707,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201906/t20190618_114354.shtml,dfd56a207bcba409828ae9387eee5156,
出让公告,晋中市国土资源局开发区土地分局国有建设用地使用权挂牌出让公告5号,2019-06-18,晋中市规划和自然资源局,晋中开土告字（2019）5号,GK2019-4号,晋中开发区思敬路东侧、汇丰街南侧,52064.4平方米（合78.0966亩）,,,科研用地,50年,介于1.0与2.0之间,介于15％与40%之间,不小于35％,尺寸控制在-10米―60米之间,4858万元,4858万元,50万元,2019年7月8日8时至2019年7月17日10时,2019年7月8日8时,2019年7月19日10时,2019年7月17日10时,晋中开发区土地事务中心（开发区办公楼北607房间）,,0354-3368707,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201906/t20190618_114354.shtml,dfd56a207bcba409828ae9387eee5156,
出让公告,晋中市国土资源局开发区土地分局国有建设用地使用权挂牌出让公告6号,2019-06-18,晋中市规划和自然资源局,晋中开土告字（2019）6号,GK2019-5号,晋中开发区魏榆路东侧、凤翔街北侧,4027.55平方米（合6.0413亩）,,,加油站用地,40年,不大于0.3,不大于30%,不小于30％,尺寸控制在-10米―20米之间,3020万元,3020万元,50万元,2019年7月8日8时至2019年7月17日10时,2019年7月8日8时,2019年7月19日10时,2019年7月17日10时,晋中开发区土地事务中心（开发区办公楼北607房间）,,0354-3368707,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201906/t20190618_114355.shtml,24622836a631f592c625219f9bbb4d2b,
出让公告,晋中市国土资源局开发区土地分局国有建设用地使用权挂牌出让公告7号,2019-06-18,晋中市规划和自然资源局,晋中开土告字（2019）7号,GK2019-7号,晋中开发区燃气学校南侧、规划路北侧,13450.54平方米（合20.1758亩）,,,教育用地,50年,不大于1.2,不大于40%,不小于35％,尺寸控制在-11米―40米之间,2058万元,2058万元,50万元,2019年7月8日8时至2019年7月17日10时,2019年7月8日8时,2019年7月19日10时,2019年7月17日10时,晋中开发区土地事务中心（开发区办公楼北607房间）,,0354-3368707,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201906/t20190618_114356.shtml,b7d3057a689fca01647d55f6cf012d3a,
出让公告,晋中市规划和自然资源局国有建设用地使用权挂牌出让公告2019年7号,2019-06-28,晋中市规划和自然资源局,晋中自然告字[2019]7号,JZGT2019T17,蕴华街以南、汇通路以东,25084.42,,,商业、住宅用地,商业40、住宅70,≥1.0且≤2.8,,,≥-10且≤80,,14784,,2019年6月28日9时至2019年7月25日16时30分,2019年7月18日9时,2019年7月29日16时,2019年7月25日16时30分,晋中市榆次区定阳路500号晋中市民之家,张晋泽,18303545200,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201906/t20190628_115699.shtml,a3b93d6976309b65b42b7804b53e5e5f,
出让公告,晋中市国土资源局开发区土地分局国有建设用地使用权挂牌出让公告2019年8号,2019-07-02,晋中市规划和自然资源局,晋中开土告字（2019）8号,GK2018-36号,晋中开发区广安东街北侧、吉利路西侧,176631.17平方米（合264.9468亩）,,,工业用地,50年,介于0.7与2.0之间,介于40％与70％之间,介于10％与25％之间,尺寸控制在-10米―60米之间,9785万元,4892.5万元,10万元,2019年7月22日8时至2019年7月31日10时,2019年7月22日8时,2019年8月2日10时,2019年7月31日10时,晋中开发区土地事务中心（开发区办公楼北607房间）,,0354-3368707,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201907/t20190702_116835.shtml,02068875f2095e544ad5bbe01f686f61,
出让公告,山西转型综合改革示范区土地管理局国有土地使用权挂牌出让公告,2017-07-21,山西省自然资源厅,,XF2016-2 ,东至长治西巷、南至规划路、西至山西军威科技有限公司、北至山西军威科技有限公司 ,3325.38平方米 ,,,商务金融用地 ,40年 ,大于或等于3.5并且小于或等于4 ,小于或等于30 ,大于或等于30 ,小于或等于100 ,3050万元 ,3050万元 ,30万元 ,2017年07月24日至2017年08月18日,2017年08月21日09时00分 ,2017年09月01日15时00分 ,2017年08月30日17时00分,山西转型综合改革示范区学府园区高新街32号高科大厦8503室,邢宗龙,0351-7036399   ,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201707/t20170721_79225.shtml,102c370dcc06852e67a92fb3205423cf,
出让公告,太原市国土资源局国有土地使用权挂牌转让公告(并国土公转告字[2017]22号),2017-05-12,山西省自然资源厅,,HGZ-1722,,16435.85平方米,,,小学,50年,1.0,绿化率(%)：,土地用途：,,5280万元,5280万元,,,2017年06月01日08时00分,2017年06月15日9时00分,2017年06月13日18时00分,,,0351-3586600 ,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201705/t20170512_79210.shtml,30e408fee007d6ab040e2390d40b6cec,
出让公告,太原市国土资源局国有土地使用权挂牌转让公告(并国土公转告字[2017]15号),2017-04-13,山西省自然资源厅,,HGZ-1715,万柏林区山西涤纶厂以南以东、千峰北路以西、规划路以北,5648.34平方米,,,居住兼容商业,住宅70年,2.2,30,25,,3130万元,3130万元,,2017年04月28日至2017年05月11日,2017年04月28日08时00分,2017年05月15日09时00分,2017年05月11日18时00分,,,0351-3586600 ,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201704/t20170413_79197.shtml,48588d060279869d7c80237bbe609f76,
出让公告,太原市国土资源局国有土地使用权挂牌转让公告(并国土公转告字[2017]16号),2017-04-13,山西省自然资源厅,,HGZ-1716,万柏林区山西涤纶厂以南以东、千峰北路以西、河西机械厂以北,4435.24平方米,,,居住兼容商业,住宅70年,3.7,35,25,,3320万元,3320万元,,2017年04月28日至2017年05月11日,2017年04月28日08时00分,2017年05月15日09时30分,2017年05月11日18时00分,,,0351-3586600 ,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201704/t20170413_79198.shtml,ca75d9f5020bc07743a117309a57103d,
出让公告,太原市国土资源局国有土地使用权挂牌转让公告(并国土公转告字[2017]17号),2017-04-13,山西省自然资源厅,,HGZ-1717,万柏林区规划路以南以北、千峰北路以西、后北屯城改用地以东,4733.98平方米,,,商业,40年,5.6,40,15,,4850万元,4850万元,,2017年04月28日至2017年05月11日,2017年04月28日08时00分,2017年05月15日10时00分,2017年05月11日18时00分,,,0351-3586600 ,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201704/t20170413_79199.shtml,9d7ce1dbcc4765b7ad16626e02bd0b29,
出让公告,太原市国土资源局国有土地使用权挂牌转让公告(并国土公转告字[2017]18号),2017-04-13,山西省自然资源厅,,HGZ-1718,万柏林区规划路以南以北以西、后北屯城改用地以东,14293.12平方米,,,居住兼容商业,住宅70年,4.0,35,25,,10350万元,10350万元,,2017年04月28日至2017年05月11日,2017年04月28日08时00分,2017年05月15日10时30分,2017年05月11日18时00分,,,0351-3586600 ,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201704/t20170413_79200.shtml,7b05f2ddfe5a4877c7a4ea293ea1cc89,
出让公告,太原市国土资源局国有土地使用权挂牌转让公告(并国土公转告字[2017]19号),2017-04-13,山西省自然资源厅,,HGZ-1719,万柏林区规划路以南以北以东、工业设备安装公司以西,11545.16平方米,,,居住兼容商业,住宅70年,4.0,35,25,,8360万元,8360万元,,2017年04月28日至2017年05月11日,2017年04月28日08时00分,2017年05月15日11时00分,2017年05月11日18时00分,,,0351-3586600 ,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201704/t20170413_79201.shtml,4f8fb0fc51a9af22ff7933aa9a388aca,
出让公告,太原市国土资源局国有土地使用权挂牌转让公告(并国土公转告字[2017]20号),2017-04-13,山西省自然资源厅,,HGZ-1720,万柏林区规划路以西、工业设备安装公司以南、后北屯城改用地以东以北,56184.36平方米,,,居住兼容商业,住宅70年,4.1,30,35,,40360万元,40360万元,,2017年04月28日至2017年05月11日,2017年04月28日08时00分,2017年05月15日11时30分,2017年05月11日18时00分,,,0351-3586600 ,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201704/t20170413_79202.shtml,cbd6e1eaec6b5dc90f54b9c8af81d709,
出让公告,太原市国土资源局国有建设用地使用权挂牌出让公告(并国土公出告字[2017]11号),2017-05-10,山西省自然资源厅,,SG-1712,,6173.46平方米,,,住宅、商业,住宅70年,5.87,35.3,19,,2520万元,2520万元,,,2017年05月25日,2017年06月09日,2017年06月07日18时00分,,,0351-3586600,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201705/t20170510_79208.shtml,db7f860c6bae35cba0060a5afa8263cc,
出让公告,太原市国土资源局国有土地使用权挂牌转让公告(并国土公转告字[2017]21号),2017-05-10,山西省自然资源厅,,HGZ-1721,,73333.09平方米,,,居住兼容商业,住宅70年,3.3,25,35,,52020万元,52020万元,,,2017年05月31日08时00分,2017年06月14日10时00分,2017年06月12日18时00分,,,0351-3586600 ,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201705/t20170510_79209.shtml,b47dcfa9e49c1dac0cf819135c20591b,
出让公告,太原市国土资源局国有土地使用权挂牌转让公告(并国土公转告字[2017]23号),2017-05-12,山西省自然资源厅,,HGZ-1723,,11130.74平方米,,,住宅兼容商业、托幼,住宅70年,7.4,46,25,,6090万元,6090万元,,,2017年06月01日08时00分,2017年06月15日9时30分,2017年06月13日18时00分,,,0351-3586600 ,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201705/t20170512_79211.shtml,e069281a42da08e872415e2d8c1ba3b8,
出让公告,太原市国土资源局国有土地使用权挂牌转让公告(并国土公转告字[2017]24号),2017-05-12,山西省自然资源厅,,HGZ-1724,,25844.62平方米,,,住宅兼容商业,住宅70年,7.0,35,25,,20060万元,20060万元,,,2017年06月01日08时00分,2017年06月15日10时00分,2017年06月13日18时00分,,,0351-3586600 ,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201705/t20170512_79212.shtml,553cc7b4af7942ec85487f4d14f063a7,
出让公告,太原市国土资源局国有土地使用权挂牌转让公告(并国土公转告字[2017]25号),2017-05-12,山西省自然资源厅,,HGZ-1725,,89628.05平方米,,,居住兼容商业,住宅70年,3.5,20,35,,65490万元,65490万元,,,2017年06月01日08时00分,2017年06月15日10时30分,2017年06月13日18时00分,,,0351-3586600 ,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201705/t20170512_79213.shtml,2e31ae590755f19b373dcf4e753534cc,
出让公告,太原市国土资源局国有建设用地使用权挂牌转让公告(并国土公转告字[2017]32号),2017-06-09,山西省自然资源厅,,HGZ-1732,位于东峰路以西、规划路以东、以南、以北,79365.74平方米,,,居住兼容商业,住宅70年,3.2,27,30,,25640万元,25640万元,,2017年6月27日至2017年7月7日,2017年6月27日,2017年7月11日,2017年7月7日18时00分,,,0351-3586600,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201706/t20170609_79215.shtml,cdea2f764a47fd7d0ae0d86efa679b96,
出让公告,太原市国土资源局国有建设用地使用权挂牌转让公告(并国土公转告字[2017]33号),2017-06-09,山西省自然资源厅,,HGZ-1733,位于赵北峰村以南、以西，规划路以东、以北,14003.29平方米,,,小学,50年,1.0,/,/,,3070万元,3070万元,,2017年6月27日至2017年7月7日,2017年6月27日,2017年7月11日,2017年7月7日18时00分,,,0351-3586600,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201706/t20170609_79216.shtml,81e1ee2d9a9cf1c6c61645e9e2cd01f2,
出让公告,太原市国土资源局国有建设用地使用权挂牌转让公告(并国土公转告字[2017]34号),2017-06-09,山西省自然资源厅,,HGZ-1734,位于东峰路以东，规划路以西、以南、以北,71292.83平方米,,,居住兼容商业,住宅70年,居住兼容商业3.7，托幼1.0.,28,30,,23920万元,23920万元,,2017年6月27日至2017年7月7日,2017年6月27日,2017年7月11日,2017年7月7日18时00分,,,0351-3586600,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201706/t20170609_79217.shtml,32a40e6ed747c5a462f7348cf16de0ac,
出让公告,太原市国土资源局国有建设用地使用权挂牌转让公告(并国土公转告字[2017]35号),2017-06-09,山西省自然资源厅,,HGZ-1735,位于赵北峰储备用地西北、规划20米路以东,11560.16平方米,,,居住兼容商业,住宅70年,4.9,33,28,,4720万元,4720万元,,2017年6月27日至2017年7月7日,2017年6月27日,2017年7月11日,2017年7月7日18时00分,,,0351-3586600,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201706/t20170609_79218.shtml,9650ee433953f834a19c3aacaf88606e,
出让公告,太原市国土资源局国有建设用地使用权挂牌转让公告(并国土公转告字[2017]36号),2017-06-09,山西省自然资源厅,,HGZ-1736,位于东峰路以西、南内环东街以北、规划绿化带以东、规划30米路以南,11852.23平方米,,,商业,40年,3.0,32,20,,3950万元,3950万元,,2017年6月27日至2017年7月7日,2017年6月27日,2017年7月11日,2017年7月7日18时00分,,,0351-3586600,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201706/t20170609_79219.shtml,2c1ee3792a568b1314625f11657d3a76,
出让公告,太原市国土资源局国有建设用地使用权挂牌转让公告(并国土公转告字[2017]37号),2017-06-09,山西省自然资源厅,,HGZ-1737,位于东峰路以东，南内环东街以北、规划20米路以南,9601.06平方米,,,商业,40年,3.0,30,20,,3200万元,3200万元,,2017年6月27日至2017年7月7日,2017年6月27日,2017年7月11日,2017年7月7日18时00分,,,0351-3586600,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201706/t20170609_79220.shtml,fbe191b196aaec667e2e24820ae823c6,
出让公告,太原市国土资源局国有建设用地使用权挂牌出让公告(并国土公出告字[2017]14号),2017-07-07,山西省自然资源厅,,SG-1715,位于东岗路310号，四至:南至狄村北街 北至太原刚玉五一房地产公司用地 东至建设路 西至太原刚玉五一房地产公司用地,9511.18平方米,,,居住兼容商业,住宅70年,3.5,25,35,,10480万元,10480万元,,2017年7月21日至2017年8月2日,2017年7月21日08时00分,2017年8月4日9时00分,2017年8月2日18时00分,,,0351-3586600,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201707/t20170707_79222.shtml,12db011dcec5b05f3900c678fb39ebe3,
出让公告,太原市国土资源局国有建设用地使用权挂牌出让公告(并国土公出告字[2017]20号),2017-08-14,山西省自然资源厅,,SG-1720,西山煤电虎峪河南岸，四至：东至省军区教导大队、南至千禧街、北至山西焦煤集团用地、西至规划路,35222.21平方米,,,居住兼容商业,住宅70年商业40年,3.3,20,35,,12800万元,12800万元,,2017年08月31日至2017年09月12日,2017年08月31日,2017年09月14日,2017年09月12日18时00分,,,0351-3586600,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201708/t20170814_79226.shtml,fd7970dda4cd84c9c3011c42e1d6dfe2,
出让公告,太原市国土资源局国有建设用地使用权网上挂牌出让公告(并国土公出告字[2017]21号),2017-09-06,山西省自然资源厅,,SWG-1721,万柏林区南上庄村，四至：东至旧晋祠路、西至南至北至南上庄村用地,16227.76平方米,,,住宅兼容商业,住宅70年,3.5,20-30,35,,12730万元,12797万元,,,2017年09月06日08时00分,2017年09月20日10时00分,2017年09月18日18时00分,太原市金刚堰路2号太原国土大楼一层,,0351-3586600,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201709/t20170906_79227.shtml,6353073e6bcef3bf8ccee771918bc77b,
出让公告,太原市国土资源局国有建设用地使用权挂牌出让公告(并国土公出告字[2017]22号),2017-09-06,山西省自然资源厅,,SG-1722,,7646.48平方米,,,居住兼容商业,住宅70年,4.35,30,30,,9540万元,9540万元,,2017年9月7日至2017年9月19日,2017年9月7日08时,2017年9月21日10时,2017年9月19日18时00分,,,0351-3586600,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201709/t20170906_79228.shtml,65c7736d1a3036b5b1bb7afad8154e73,
出让公告,太原市国土资源局国有建设用地使用权拍卖出让公告(并国土公出告字[2017]23号),2017-09-06,山西省自然资源厅,,SP-1723,位于并州路1号，四至：南至规划路；北至并州饭店；东至并州路；西至并州饭店用地,6719.31平方米,,,商务商业,40年,16.5,50,5,,13000万元,6500万元,,2017年9月14日至2017年9月25日,,,2017年9月25日18时00分,,,0351-3586600,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201709/t20170906_79229.shtml,0fc3e7226cb7178b6a7b4f26f4e8dbd1,
出让公告,太原市国土资源局国有建设用地使用权挂牌出让公告(并国土公出告字[2017]24号),2017-09-21,山西省自然资源厅,,SG-1724,,20672.34平方米,,,居住兼容商业,住宅70年,3.0,35,30,,18720万元,18720万元,,2017年10月9日至2017年10月19日,2017年10月9日08时00分,2017年10月23日10时00分,2017年10月19日18时00分,,,0351-3586600,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201709/t20170921_79230.shtml,2cb895496d5bd4d11b114008816b4a30,
出让公告,太原市国土资源局国有建设用地使用权挂牌出让公告(并国土公出告字[2017] 25号),2017-10-09,山西省自然资源厅,,SG-1725,,204.99平方米,,,居住兼容商业,住宅70年,3.5,35,25,,120万元,120万元,,2017年10月13日至2017年10月25日,2017年10月13日08时00分,2017年10月27日9时00分,2017年10月25日18时00分,,,0351-3586600,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201710/t20171009_79231.shtml,66db03d9fd36c1f74851775ef05174bf,
出让公告,太原市国土资源局国有建设用地使用权挂牌出让公告(并国土公出告字[2017] 26 号),2017-10-09,山西省自然资源厅,,SG-1726,,5311.01平方米,,,居住兼容商业,住宅70年,2.5,35,25,,2370万元,2370万元,,2017年10月13日至2017年10月25日,2017年10月13日08时00分,2017年10月27日10时00分,2017年10月25日18时00分,,,0351-3586600,2020-05-15,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crgg/201710/t20171009_79232.shtml,9bd8ce1cb66e211b8eda7479c0e6487f,
