文件标题,时间,来源,文件编号,宗地编号,编号,地块位置,土地位置,土地面积(亩),土地面积(平方米),土地用途,成交价(万元),竞得人,公示期,联系单位,单位地址,邮政编码,联系电话,爬取地址url,唯一标识,
晋中市国土资源局开发区土地分局国有土地使用权招拍挂出让成交公示,2018-07-31,山西省自然资源厅,,GK2018-11,,南同蒲铁路以西,,77.6488,,工业用地,,流拍,2018年7月31日 至 2018年8月6日,晋中市国土资源局开发区土地分局,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201807/t20180731_79446.shtml,45e89f2ba4c1c3df7c8ed0c1bf0ec654,
晋中市国土资源局开发区土地分局国有土地使用权招拍挂出让成交公示,2018-07-31,山西省自然资源厅,,GK2018-12,,徐工安瑞达以东、规划路以北,,11.1572,,工业用地,575,山西康诚惠民贸易有限公司,2018年7月31日 至 2018年8月6日,晋中市国土资源局开发区土地分局,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201807/t20180731_79446.shtml,45e89f2ba4c1c3df7c8ed0c1bf0ec654,
晋中市国土资源局开发区土地分局国有土地使用权招拍挂出让成交公示,2018-07-31,山西省自然资源厅,,GK2018-13,,规划路以北,,16.5041,,工业用地,850,山西尊创网络科技有限公司,2018年7月31日 至 2018年8月6日,晋中市国土资源局开发区土地分局,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201807/t20180731_79446.shtml,45e89f2ba4c1c3df7c8ed0c1bf0ec654,
晋中市国土资源局开发区土地分局国有土地使用权招拍挂出让成交公示,2018-07-31,山西省自然资源厅,,GK2018-14,,南同蒲铁路以西、规划路以北,,9.9986,,工业用地,515,晋中迈可弘服饰有限公司,2018年7月31日 至 2018年8月6日,晋中市国土资源局开发区土地分局,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201807/t20180731_79446.shtml,45e89f2ba4c1c3df7c8ed0c1bf0ec654,
晋中市国土资源局开发区土地分局国有土地使用权招拍挂出让成交公示,2018-07-31,山西省自然资源厅,,GK2018-15,,广安街南侧、王河路东侧,,92.6359,,商住,,流拍,2018年7月31日 至 2018年8月6日,晋中市国土资源局开发区土地分局,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201807/t20180731_79446.shtml,45e89f2ba4c1c3df7c8ed0c1bf0ec654,
晋中市国土资源局开发区土地分局国有土地使用权招拍挂出让成交公示,2018-07-31,山西省自然资源厅,,GK2018-16,,广安街南侧、魏榆路西侧,,80.9943,,商住,,流拍,2018年7月31日 至 2018年8月6日,晋中市国土资源局开发区土地分局,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201807/t20180731_79446.shtml,45e89f2ba4c1c3df7c8ed0c1bf0ec654,
山西省国土资源厅晋中经济技术开发区土地分局国有土地使用权招拍挂出让成交公示,2017-01-10,山西省自然资源厅,,GK2016-6,,恒易通工贸有限公司西侧及南侧,,4.7416,,工业,180,,2017年1月10日 至 2017年1月19日,,晋中市迎宾西街开发区管委会办公大楼 ,030600 ,0354-3368707 ,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201701/t20170110_79416.shtml,d02c4011145c011bda311ad5e53f6575,
山西省国土资源厅晋中经济技术开发区土地分局国有土地使用权招拍挂出让成交公示,2017-01-10,山西省自然资源厅,,GK2016-31,,广安西街南侧、魏榆路东侧,,50.0818,,医院,2510,,2017年1月10日 至 2017年1月19日,,晋中市迎宾西街开发区管委会办公大楼 ,030600 ,0354-3368707 ,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201701/t20170110_79416.shtml,d02c4011145c011bda311ad5e53f6575,
山西省国土资源厅晋中经济技术开发区土地分局国有土地使用权招拍挂出让成交公示,2017-01-10,山西省自然资源厅,,GK2016-32,,龙湖大街北侧、魏榆路东侧,,126.3689,,商服,20220,,2017年1月10日 至 2017年1月19日,,晋中市迎宾西街开发区管委会办公大楼 ,030600 ,0354-3368707 ,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201701/t20170110_79416.shtml,d02c4011145c011bda311ad5e53f6575,
太原市局关于SG-1711地块出让的结果公示,2017-05-10,山西省自然资源厅,,,,万柏林区东社村，西至规划绿地、北至南至太原国投房地产开发有限公司用地、东至规划路；,万柏林区东社村，西至规划绿地、北至南至太原国投房地产开发有限公司用地、东至规划路；,,15.89,居住兼容商业,,太原国投房地产开发有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201705/t20170510_79432.shtml,a7e13e0dc3f2967670928f524bd55f0b,
山西省国土资源厅晋中经济技术开发区土地分局国有土地使用权招拍挂出让成交公示,2017-06-16,山西省自然资源厅,,GK2017-6,,108国道东侧、龙湖街南长途客运站南侧,,204.4271,,工业,7680,,2017年6月16日 至 2017年6月25日,山西省国土资源厅晋中经济技术开发区土地分局,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201706/t20170616_79433.shtml,9db2fb89010dcb0fcd8a71fde8e31daf,
山西省国土资源厅晋中经济技术开发区土地分局国有土地使用权招拍挂出让成交公示,2017-06-16,山西省自然资源厅,,GK2017-7,,108国道东侧、龙湖街南长途客运站南侧,,62.3760,,工业,2350,,2017年6月16日 至 2017年6月25日,山西省国土资源厅晋中经济技术开发区土地分局,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201706/t20170616_79433.shtml,9db2fb89010dcb0fcd8a71fde8e31daf,
太原市局关于SG-1712地块出让的结果公示,2017-06-20,山西省自然资源厅,,,,万柏林区西矿街以北，四至：东至西山煤电用地；南至西矿街；北至西山煤电用地；西至西山煤电用地,万柏林区西矿街以北，四至：东至西山煤电用地；南至西矿街；北至西山煤电用地；西至西山煤电用地,,9.26,住宅、商业,,中房集团山西天泰房地产开发有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201706/t20170620_79434.shtml,ed91b4250f82a3bfd5da7a09afa07f0d,
太原市局关于SG-1713地块出让的结果公示,2017-06-20,山西省自然资源厅,,,,山西高远翔房地产开发有限公司以东、以南、以西，规划路以北,山西高远翔房地产开发有限公司以东、以南、以西，规划路以北,,0.42,居住兼容商业,,山西瑞枫源房地产开发有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201706/t20170620_79437.shtml,63000efc10e303a374531519e00e38aa,
晋中市国土资源局开发区土地分局国有土地使用权协议出让公示,2017-08-21,山西省自然资源厅,,土地面积(公顷),,出让年限,,,,成交价(万元),,,,晋中市国土资源局开发区土地分局,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201708/t20170821_79438.shtml,fa2df00ac896fafd5adf992e0deca289,
太原市关于SWG-1716地块出让的结果公示,2017-09-06,山西省自然资源厅,,,,位于小店区红寺村、嘉节社区，四至：北至南环北街，西至长治路。,位于小店区红寺村、嘉节社区，四至：北至南环北街，西至长治路。,,4.59,住宅兼容商业,,山西莱钢绿建置业有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201709/t20170906_79439.shtml,edb6bb5fff12484c6838aad98f9b36f2,
太原市关于SWG-1714地块出让的结果公示,2017-09-06,山西省自然资源厅,,SWG-1714,,尖草坪区黄花园村，四至：西至北至南至高速公路服务区、东至黄花园村,尖草坪区黄花园村，四至：西至北至南至高速公路服务区、东至黄花园村,2561.38,3.84,加油加气站用地,560,太原市东山过境高速公路北服务区诚毅加油站（有限公司）,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201709/t20170906_79440.shtml,349eda0748995bf666a1255b95c08e0c,
太原市局关于SG-1722地块出让的结果公示,2017-10-09,山西省自然资源厅,,,,位于并州南路108号，南至社科院用地，北至中国煤炭科工集团太原研究院用地，东至社科院用地，西至并州南路。,位于并州南路108号，南至社科院用地，北至中国煤炭科工集团太原研究院用地，东至社科院用地，西至并州南路。,,11.47,居住兼容商业,,中国煤炭科工集团太原研究院有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201710/t20171009_79444.shtml,8688d261c217f4cf0ac167f30b4dd6aa,
太原市局关于SP-1723地块出让的结果公示,2017-10-09,山西省自然资源厅,,,,位于并州路1号，四至：南至规划路；北至并州饭店；东至并州路；西至并州饭店用地,位于并州路1号，四至：南至规划路；北至并州饭店；东至并州路；西至并州饭店用地,,10.08,商务商业,,太原帝海兴盛置业有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201710/t20171009_79445.shtml,89234238696ce2d7d0c764e7909742a8,
山西省国土资源厅晋中经济技术开发区土地分局国有土地使用权招拍挂出让成交公示,2017-01-20,山西省自然资源厅,,GK2016-33,,化章街以南、学院路以东,,26.3312,,商住,3160,,2017年1月20日 至 2017年1月29日,,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201701/t20170120_79417.shtml,0eec2062d01e32ad57a8baffcd3d575b,
山西省国土资源厅晋中经济技术开发区土地分局国有土地使用权招拍挂出让成交公示,2017-01-20,山西省自然资源厅,,GK2016-34,,化章街以南、学院东路以西,,56.1928,,商住,6740,,2017年1月20日 至 2017年1月29日,,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201701/t20170120_79417.shtml,0eec2062d01e32ad57a8baffcd3d575b,
山西省国土资源厅晋中经济技术开发区土地分局国有土地使用权招拍挂出让成交公示,2017-01-20,山西省自然资源厅,,GK2016-35,,化章街以南、综合通道以东,,84.901,,商住,10090,,2017年1月20日 至 2017年1月29日,,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201701/t20170120_79417.shtml,0eec2062d01e32ad57a8baffcd3d575b,
山西省国土资源厅晋中经济技术开发区土地分局国有土地使用权招拍挂出让成交公示,2017-01-20,山西省自然资源厅,,GK2016-36,,化章街以南、学院路以西,,128.5028,,商住,15270,,2017年1月20日 至 2017年1月29日,,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201701/t20170120_79417.shtml,0eec2062d01e32ad57a8baffcd3d575b,
山西省国土资源厅晋中经济技术开发区土地分局国有土地使用权招拍挂出让成交公示,2017-01-20,山西省自然资源厅,,GK2016-37,,龙湖大街北侧、魏榆路东侧,,5.4739,,商服,880,,2017年1月20日 至 2017年1月29日,,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201701/t20170120_79417.shtml,0eec2062d01e32ad57a8baffcd3d575b,
太原市国土局关于SP-1654、SP-1655、SP-1656、SP-1657、SP-1658地块出让结果公示,2017-01-25,山西省自然资源厅,,SP-1654,,位于晋阳街以南，长治路以东，规划路以西，规划路以北,位于晋阳街以南，长治路以东，规划路以西，规划路以北,124039.22,186.06,居住兼容商业，托幼,139610,太原苏宁置业有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201701/t20170125_79418.shtml,75d3e9ceb6adc6acf60a903d4a5b93e1,
太原市国土局关于SP-1654、SP-1655、SP-1656、SP-1657、SP-1658地块出让结果公示,2017-01-25,山西省自然资源厅,,SP-1655,,尖草坪区三给片区内，四至为：北至规划路、西至和平北路、南至太原锦绣家园用地、东至西干渠,尖草坪区三给片区内，四至为：北至规划路、西至和平北路、南至太原锦绣家园用地、东至西干渠,124403.83,186.61,居住兼容商业、小学、托幼,80060,太原富润房地产开发有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201701/t20170125_79418.shtml,75d3e9ceb6adc6acf60a903d4a5b93e1,
太原市国土局关于SP-1654、SP-1655、SP-1656、SP-1657、SP-1658地块出让结果公示,2017-01-25,山西省自然资源厅,,SP-1656,,尖草坪区三给片区内，四至为：西至西干渠、南至三给街、东至滨河西路绿化带,尖草坪区三给片区内，四至为：西至西干渠、南至三给街、东至滨河西路绿化带,137174.17,205.76,住宅兼容商业、托幼、小学,71280,太原富润房地产开发有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201701/t20170125_79418.shtml,75d3e9ceb6adc6acf60a903d4a5b93e1,
太原市国土局关于SP-1654、SP-1655、SP-1656、SP-1657、SP-1658地块出让结果公示,2017-01-25,山西省自然资源厅,,SP-1657,,尖草坪区三给片区内，四至为：北至三给街、东至滨河西路绿化带,尖草坪区三给片区内，四至为：北至三给街、东至滨河西路绿化带,66408.89,99.61,住宅兼容商业、托幼,36350,太原富润房地产开发有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201701/t20170125_79418.shtml,75d3e9ceb6adc6acf60a903d4a5b93e1,
太原市国土局关于SP-1654、SP-1655、SP-1656、SP-1657、SP-1658地块出让结果公示,2017-01-25,山西省自然资源厅,,SP-1658,,位于晋源区木厂头村、古寨村，四至：东至规划贾家庄东路、西至汾河一坝用地、南至古寨村用地、北至健康南街,位于晋源区木厂头村、古寨村，四至：东至规划贾家庄东路、西至汾河一坝用地、南至古寨村用地、北至健康南街,123471.04,185.21,商业、社会停车场、住宅、托幼,103440,山西省投资集团建设开发有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201701/t20170125_79418.shtml,75d3e9ceb6adc6acf60a903d4a5b93e1,
太原市国土局关于SG-1652地块出让的结果公示,2017-01-25,山西省自然资源厅,,,,位于龙城大街以南范家堡村，四至：北至范家堡村城中村改造133工程用地地块9、东至体育南路、西至范家堡村城中村改造133工程用地地块11、南至规划路。,位于龙城大街以南范家堡村，四至：北至范家堡村城中村改造133工程用地地块9、东至体育南路、西至范家堡村城中村改造133工程用地地块11、南至规划路。,,19.14,居住兼容商业,,太原君碧房地产开发有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201701/t20170125_79419.shtml,57af961f499f4e394d3578fb3e3b63e4,
太原市国土局关于SG-1606地块出让的结果公示,2017-02-13,山西省自然资源厅,,,,平阳路136号，太原锦荣房地产开发有限公司以西、以北，规划路以东、以南。,平阳路136号，太原锦荣房地产开发有限公司以西、以北，规划路以东、以南。,,18.46,居住兼容商业,,山西锦荣房地产开发有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201702/t20170213_79420.shtml,36ee3a2cac6ba49c9cd4fbe15a31ea3b,
山西省国土资源厅晋中经济技术开发区土地分局国有土地使用权招拍挂出让成交公示,2017-02-21,山西省自然资源厅,,GK2016-18,,晋中开发区纬九路北侧,,11.8186,,科研,480,,2017年2月21日 至 2017年3月2日,,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201702/t20170221_79421.shtml,a3dd97adddcf7ab50a0264a5afd77d03,
山西省国土资源厅晋中经济技术开发区土地分局国有土地使用权招拍挂出让成交公示,2017-02-21,山西省自然资源厅,,GK2017-1,,杨盘街北侧、规划路西侧,,24.5793,,仓储,,,2017年2月21日 至 2017年3月2日,,晋中市迎宾西街开发区管委会办公大楼,030600,0354-3368707,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201702/t20170221_79421.shtml,a3dd97adddcf7ab50a0264a5afd77d03,
太原市国土关于SP-1701、SP-1702地块出让结果公示,2017-02-23,山西省自然资源厅,,SP-1701,,位于东至水峪村界、北至松庄村，西至松庄村，南至居民小区,位于东至水峪村界、北至松庄村，西至松庄村，南至居民小区,22077.2,33.12,住宅,7790,山西华正房地产开发有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201702/t20170223_79422.shtml,6bf44490d5d16036bfd944c2868d34ca,
太原市国土关于SP-1701、SP-1702地块出让结果公示,2017-02-23,山西省自然资源厅,,SP-1702,,位于大井峪村以东，市政南街北侧20米城市道路以南，西中环路以西，南中环街以北,位于大井峪村以东，市政南街北侧20米城市道路以南，西中环路以西，南中环街以北,2393.4,3.59,居住兼容商业,2020,山西晋泰瑞房地产开发有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201702/t20170223_79422.shtml,6bf44490d5d16036bfd944c2868d34ca,
太原市国土关于SP-1701、SP-1702地块出让结果公示,2017-02-23,山西省自然资源厅,,SP-1702,,位于大井峪村以东，市政南街北侧20米城市道路以南，西中环路以西，南中环街以北,位于大井峪村以东，市政南街北侧20米城市道路以南，西中环路以西，南中环街以北,2393.4,3.59,居住兼容商业,2020,山西晋泰瑞房地产开发有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201702/t20170223_79422.shtml,6bf44490d5d16036bfd944c2868d34ca,
太原市国土局出让国有建设用地使用权转让公示(2017)第1期,2017-03-07,山西省自然资源厅,,,【晋2016太原市不动产权第0000406】号,小店区军民南路以东、荣军北街以北、坞城中路以西,,,31893.87平方米；,商业住宅用地；,,太原恒睿房地产开发有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201703/t20170307_79423.shtml,94f5f65aa78f01d22190cd9731a0494b,
太原市国土局关于SP-1706地块出让结果公示,2017-03-07,山西省自然资源厅,,SP-1706,,位于滨河西路以西，东至滨河西路、南至健康南街、西至健康西街、北至健康北街,位于滨河西路以西，东至滨河西路、南至健康南街、西至健康西街、北至健康北街,23889.64,35.84,体育用地,14340,山西万兴当代置业有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201703/t20170307_79424.shtml,bc441b71b26b03440ba8e038f679cadf,
太原市国土局关于SG-1703、SG-1704、SG-1705地块出让的结果公示,2017-03-07,山西省自然资源厅,,,,位于晋阳街28号，东至日神集团，西至山西日神用地，南至大吴村，北至日神集团,位于晋阳街28号，东至日神集团，西至山西日神用地，南至大吴村，北至日神集团,,97.47,居住兼容商业、托幼,,太原保利房地产开发有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201703/t20170307_79425.shtml,ef69e197307f6a2ca09eed3907718bd5,
太原市国土局关于SG-1703、SG-1704、SG-1705地块出让的结果公示,2017-03-07,山西省自然资源厅,,,,位于晋阳街28号，东至北营街办，西至日神公司，南至大吴村，北至市资产经营公司,位于晋阳街28号，东至北营街办，西至日神公司，南至大吴村，北至市资产经营公司,,60.13,居住兼容商业,,太原保利房地产开发有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201703/t20170307_79425.shtml,ef69e197307f6a2ca09eed3907718bd5,
太原市国土局关于SG-1703、SG-1704、SG-1705地块出让的结果公示,2017-03-07,山西省自然资源厅,,,,位于晋阳街80号，东至深圳日神实业公司，西至山针路，南至荣军北街，北至规划路,位于晋阳街80号，东至深圳日神实业公司，西至山针路，南至荣军北街，北至规划路,,63.03,居住兼容商业,,太原保利房地产开发有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201703/t20170307_79425.shtml,ef69e197307f6a2ca09eed3907718bd5,
太原市局关于SP-1706地块出让结果公示,2017-03-15,山西省自然资源厅,,SP-1706,,位于滨河西路以西，东至滨河西路、南至健康南街、西至健康西街、北至健康北街,位于滨河西路以西，东至滨河西路、南至健康南街、西至健康西街、北至健康北街,23889.64,35.84,体育用地,14340,山西万兴当代置业有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201703/t20170315_79426.shtml,a2427741f2976c0db22f0ab2e7a03242,
太原市局关于SG-1703、SG-1704、SG-1705地块出让的结果公示,2017-03-15,山西省自然资源厅,,,,位于晋阳街28号，东至日神集团，西至山西日神用地，南至大吴村，北至日神集团,位于晋阳街28号，东至日神集团，西至山西日神用地，南至大吴村，北至日神集团,,97.47,居住兼容商业、托幼,,太原保利房地产开发有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201703/t20170315_79427.shtml,8cdafbe7209b074d2e26d5b45ddb9308,
太原市局关于SG-1703、SG-1704、SG-1705地块出让的结果公示,2017-03-15,山西省自然资源厅,,,,位于晋阳街28号，东至北营街办，西至日神公司，南至大吴村，北至市资产经营公司,位于晋阳街28号，东至北营街办，西至日神公司，南至大吴村，北至市资产经营公司,,60.13,居住兼容商业,,太原保利房地产开发有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201703/t20170315_79427.shtml,8cdafbe7209b074d2e26d5b45ddb9308,
太原市局关于SG-1703、SG-1704、SG-1705地块出让的结果公示,2017-03-15,山西省自然资源厅,,,,位于晋阳街80号，东至深圳日神实业公司，西至山针路，南至荣军北街，北至规划路,位于晋阳街80号，东至深圳日神实业公司，西至山针路，南至荣军北街，北至规划路,,63.03,居住兼容商业,,太原保利房地产开发有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201703/t20170315_79427.shtml,8cdafbe7209b074d2e26d5b45ddb9308,
太原市国土局关于SP-1707地块出让的结果公示,2017-03-17,山西省自然资源厅,,,,东至小吴村，西至山西物产民丰化工有限公司，南至小吴村，北至龙城大街。,东至小吴村，西至山西物产民丰化工有限公司，南至小吴村，北至龙城大街。,,29.98,商业,,山西路桥房地产开发有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201703/t20170317_79428.shtml,7514717cf22ca805fcfab5a1d969e72f,
太原市国土局关于SG-1710地块出让的结果公示,2017-04-21,山西省自然资源厅,,,,位于迎泽区马庄村，西至东峰路、北至东至南至规划路。,位于迎泽区马庄村，西至东峰路、北至东至南至规划路。,,73.35,居住兼容商业,,太原恒泽房地产开发有限公司,,,,,,2020-05-18,http://zrzyt.shanxi.gov.cn/zwgk/zwgkjbml/tdgl_836/crjg/201704/t20170421_79429.shtml,ff5242f6f3df91fd1ad13c42bdb70a79,
